ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,Children_Bac_Count,Children_Shrink_bac_Count,Location_Center_X,Location_Center_Y,Location_Center_Z
1,104,nan,003,1,nan,0,001,001,0,001,A003,1149.0,524.0,1.0,1,1,1132.6149688149687,518.583367983368,0
1,105,nan,003,1,nan,0,001,001,0,001,A003,511.0,537.0,1.0,1,1,492.54093526190144,529.887515798343,0
1,106,nan,003,1,nan,0,001,001,0,001,A003,827.0,551.0,1.0,0,0,833.945817574105,556.4587914504353,0
1,107,nan,003,1,nan,0,001,001,0,001,A003,1.0,550.0,1.0,0,0,36.26873004175878,569.6674035863424,0
1,108,nan,003,1,nan,0,001,001,0,001,A003,265.0,537.0,1.0,1,1,283.57295585032665,538.8399326865967,0
1,109,nan,003,1,nan,0,001,001,0,001,A003,707.0,579.0,1.0,0,0,713.0095868748765,583.5767938327733,0
1,110,nan,003,1,nan,0,001,001,0,001,A003,1186.0,571.0,1.0,0,0,1167.2871331828442,569.568848758465,0
1,111,nan,003,1,nan,0,001,001,0,001,A003,485.0,595.0,1.0,1,1,486.7565281353439,599.2497241632954,0
1,112,nan,003,1,nan,0,001,001,0,001,A003,554.0,599.0,1.0,1,1,552.724766000506,598.5767771312927,0
1,113,nan,003,1,nan,0,001,001,0,001,A003,321.0,581.0,1.0,0,0,319.2103658536585,583.8037694013303,0
1,114,nan,003,1,nan,0,001,001,0,001,A003,1018.0,600.0,1.0,0,0,1022.7118753589891,591.3402498564044,0
1,115,nan,003,1,nan,0,001,001,0,001,A003,1359.0,615.0,1.0,0,0,1342.8989726027398,619.4463470319635,0
1,116,nan,003,1,nan,0,001,001,0,001,A003,1266.0,632.0,1.0,0,0,1261.8567833927448,634.8236527573915,0
