ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,Children_ExtraBac_Count,Children_IntraBac_Count,Distance_Centroid_Cell,Distance_Minimum_Cell,Location_Center_X,Location_Center_Y,Location_Center_Z,Parent_Cell
1,48,nan,003,1,nan,0,001,001,0,001,A003,1123.0,508.0,1.0,0,1,14.154595398897598,9.21101475724466,1122.6144578313254,508.56626506024094,0,104
1,49,nan,003,1,nan,0,001,001,0,001,A003,483.0,514.0,1.0,0,1,17.961722485792997,6.151106494860159,483.8833333333333,514.15,0,105
1,50,nan,003,1,nan,0,001,001,0,001,A003,303.0,539.0,1.0,0,1,19.43001797798382,18.5,303.0,538.5,0,108
1,51,nan,003,1,nan,0,001,001,0,001,A003,571.0,604.0,1.0,0,1,19.746116726548184,14.00132073229237,571.5,604.6923076923077,0,112
1,52,nan,003,1,nan,0,001,001,0,001,A003,488.0,611.0,1.0,0,1,11.815887800619823,24.698178070456937,488.0,611.0,0,111
1,53,nan,003,1,nan,0,001,001,0,001,A003,226.0,636.0,1.0,0,1,22.696664268206682,27.297089791974383,225.56666666666666,636.1,0,120
1,54,nan,003,1,nan,0,001,001,0,001,A003,209.0,640.0,1.0,0,1,6.758787617164777,38.265519727294965,209.5,640.0,0,120
1,55,nan,003,1,nan,0,001,001,0,001,A003,229.0,642.0,1.0,0,1,24.574937300025407,22.965846150123166,228.9090909090909,641.6883116883117,0,120
1,56,nan,003,1,nan,0,001,001,0,001,A003,754.0,688.0,1.0,0,1,23.301840460807618,14.189051411962256,754.5510204081633,688.4931972789116,0,129
1,57,nan,003,1,nan,0,001,001,0,001,A003,648.0,693.0,1.0,0,1,27.16887410232567,5.144978257246749,648.0,693.7872340425532,0,119
1,58,nan,003,1,nan,0,001,001,0,001,A003,653.0,696.0,1.0,0,1,29.070978025408316,8.28767910817016,653.1,695.725,0,119
1,59,nan,003,1,nan,0,001,001,0,001,A003,279.0,697.0,1.0,0,1,25.22786172947584,13.455707166972797,279.5176470588235,696.5529411764705,0,125
1,60,nan,003,1,nan,0,001,001,0,001,A003,864.0,701.0,1.0,0,1,18.494621533512007,22.54877304338085,863.9213483146067,701.1910112359551,0,126
1,61,nan,003,1,nan,0,001,001,0,001,A003,854.0,708.0,1.0,0,1,29.20243180612393,21.400934559032695,854.0,708.0,0,126
1,62,nan,003,1,nan,0,001,001,0,001,A003,1036.0,741.0,1.0,0,1,43.567581992465634,3.0275794429967724,1035.8505747126437,740.1321839080459,0,137
1,63,nan,003,1,nan,0,001,001,0,001,A003,524.0,822.0,1.0,0,1,40.92210010608033,8.038405721045315,523.9622641509434,820.8962264150944,0,141
1,64,nan,003,1,nan,0,001,001,0,001,A003,796.0,825.0,1.0,0,1,23.334973236022815,10.776612182146101,796.7692307692307,825.4505494505495,0,142
1,65,nan,003,1,nan,0,001,001,0,001,A003,1189.0,832.0,1.0,0,1,50.058955814866295,1.8003074346928698,1189.25,830.422619047619,0,144
1,66,nan,003,1,nan,0,001,001,0,001,A003,1035.0,899.0,1.0,0,1,36.30991480703633,8.470915026375941,1035.835294117647,898.5529411764705,0,164
1,67,nan,003,1,nan,0,001,001,0,001,A003,149.0,930.0,1.0,0,1,38.01441376218346,9.32183589081256,148.9294117647059,930.678431372549,0,161
1,68,nan,003,1,nan,0,001,001,0,001,A003,886.0,932.0,1.0,0,1,30.24936651337885,8.22733249454124,886.4532019704434,931.1034482758621,0,169
1,69,nan,003,1,nan,0,001,001,0,001,A003,667.0,953.0,1.0,0,1,13.64998257704181,27.328621745881964,666.7592592592592,953.4074074074074,0,172
1,70,nan,003,1,nan,0,001,001,0,001,A003,675.0,955.0,1.0,0,1,21.038040046453904,23.970087545791532,673.7894736842105,955.6842105263158,0,172
1,71,nan,003,1,nan,0,001,001,0,001,A003,1026.0,983.0,1.0,0,1,48.091387989446055,16.79434932597432,1026.2456140350878,981.1578947368421,0,173
2,1,nan,003,10,nan,0,001,001,0,001,A003,711.0,34.0,1.0,0,1,39.260522590364495,3.1582756490601,711.0370370370371,33.86666666666667,0,3
2,2,nan,003,10,nan,0,001,001,0,001,A003,343.0,52.0,1.0,0,1,32.188190779118635,11.304380703613514,342.8979591836735,51.87074829931973,0,11
2,3,nan,003,10,nan,0,001,001,0,001,A003,333.0,84.0,1.0,0,1,6.634223691798985,23.711230391120043,332.85393258426967,83.85393258426966,0,11
2,4,nan,003,10,nan,0,001,001,0,001,A003,87.0,135.0,1.0,0,1,21.180141313378464,28.101235851132007,86.83653846153847,134.8653846153846,0,21
2,5,nan,003,10,nan,0,001,001,0,001,A003,27.0,157.0,1.0,0,1,50.2867490567668,9.402944446731482,26.10843373493976,158.14859437751005,0,21
2,6,nan,003,10,nan,0,001,001,0,001,A003,111.0,228.0,1.0,0,1,40.81907541187965,5.128244276675002,111.41237113402062,229.38659793814432,0,25
2,7,nan,003,10,nan,0,001,001,0,001,A003,106.0,239.0,1.0,0,1,38.122905689595136,3.676676062423043,105.1725888324873,237.3502538071066,0,30
2,8,nan,003,10,nan,0,001,001,0,001,A003,249.0,243.0,1.0,0,1,18.025403944017825,16.337316186706598,249.49079754601226,243.40490797546013,0,29
2,9,nan,003,10,nan,0,001,001,0,001,A003,150.0,253.0,1.0,0,1,31.197273355193186,12.162183384242795,150.15584415584416,253.15584415584416,0,25
2,10,nan,003,10,nan,0,001,001,0,001,A003,435.0,262.0,1.0,0,1,26.451370868855822,29.107559155655768,434.5,262.0,0,26
2,11,nan,003,10,nan,0,001,001,0,001,A003,695.0,311.0,1.0,0,1,71.07261235664794,1.1627564584482446,694.7904191616766,310.8562874251497,0,27
2,12,nan,003,10,nan,0,001,001,0,001,A003,239.0,341.0,1.0,0,1,27.830377793088008,1.0088497300281027,239.0,340.8666666666667,0,36
2,13,nan,003,10,nan,0,001,001,0,001,A003,237.0,345.0,1.0,0,1,30.423683770858204,0.6336210969060508,238.4375,344.5416666666667,0,36
2,14,nan,003,10,nan,0,001,001,0,001,A003,236.0,352.0,1.0,0,1,32.18869377549764,2.5495097567963922,236.5,351.5,0,40
2,15,nan,003,10,nan,0,001,001,0,001,A003,18.0,359.0,1.0,0,1,15.471525116100862,1.1543006420769062,17.94736842105263,359.5263157894737,0,43
2,16,nan,003,10,nan,0,001,001,0,001,A003,14.0,365.0,1.0,0,1,9.672021162573984,4.2888974106359115,14.725806451612904,364.35483870967744,0,43
2,17,nan,003,10,nan,0,001,001,0,001,A003,1116.0,377.0,1.0,0,1,22.81909480848387,13.074390911449017,1116.1858407079646,377.1946902654867,0,47
2,18,nan,003,10,nan,0,001,001,0,001,A003,654.0,432.0,1.0,0,1,26.93484332461821,12.083045973594572,654.0,432.0,0,59
2,19,nan,003,10,nan,0,001,001,0,001,A003,627.0,433.0,1.0,0,1,17.58363714988411,17.240939649566666,627.0,432.5,0,59
2,20,nan,003,10,nan,0,001,001,0,001,A003,644.0,447.0,1.0,0,1,10.588210126574218,15.239750654128171,643.5,447.0,0,59
2,21,nan,003,10,nan,0,001,001,0,001,A003,797.0,454.0,1.0,0,1,46.44149630929941,8.246211251235321,797.0,454.0,0,56
2,22,nan,003,10,nan,0,001,001,0,001,A003,933.0,499.0,1.0,0,1,9.759675262555776,37.23237838226293,932.5,499.0,0,60
2,23,nan,003,10,nan,0,001,001,0,001,A003,370.0,581.0,1.0,1,0,nan,nan,369.91975308641975,581.2716049382716,0,0
2,24,nan,003,10,nan,0,001,001,0,001,A003,138.0,657.0,1.0,0,1,6.677524595070356,31.468237955119125,138.0,657.5,0,75
2,25,nan,003,10,nan,0,001,001,0,001,A003,907.0,665.0,1.0,0,1,54.35437858334801,0.601038456616023,906.6009615384615,665.0096153846154,0,79
2,26,nan,003,10,nan,0,001,001,0,001,A003,277.0,693.0,1.0,0,1,34.18382035545156,22.627416997969522,277.0,693.0,0,83
2,27,nan,003,10,nan,0,001,001,0,001,A003,534.0,800.0,1.0,0,1,28.499120688741453,15.363321118900995,534.1111111111111,800.3611111111111,0,94
2,28,nan,003,10,nan,0,001,001,0,001,A003,531.0,809.0,1.0,0,1,20.702523314510444,21.52831310869765,532.0928571428572,807.95,0,94
2,29,nan,003,10,nan,0,001,001,0,001,A003,510.0,819.0,1.0,0,1,16.353654457468995,19.300259065618782,509.5,819.5,0,94
2,30,nan,003,10,nan,0,001,001,0,001,A003,514.0,831.0,1.0,0,1,10.612747801116422,19.474342094150447,514.0,830.5,0,94
2,31,nan,003,10,nan,0,001,001,0,001,A003,1288.0,861.0,1.0,0,1,10.653634904884434,24.345726524381945,1287.62,860.9,0,105
2,32,nan,003,10,nan,0,001,001,0,001,A003,404.0,863.0,1.0,0,1,43.921299681013046,6.336974610380757,403.54901960784315,863.4117647058823,0,107
2,33,nan,003,10,nan,0,001,001,0,001,A003,616.0,948.0,1.0,0,1,10.312253769220746,19.091883092036785,616.5,947.5,0,115
2,34,nan,003,10,nan,0,001,001,0,001,A003,613.0,954.0,1.0,0,1,6.768447277220035,25.866546609606452,613.3333333333334,953.90625,0,115
2,35,nan,003,10,nan,0,001,001,0,001,A003,189.0,958.0,1.0,0,1,16.392537463915573,19.448650338776723,189.5,958.0,0,119
2,36,nan,003,10,nan,0,001,001,0,001,A003,603.0,958.0,1.0,0,1,7.843433378919861,21.764216752159392,602.5897435897435,958.0,0,115
2,37,nan,003,10,nan,0,001,001,0,001,A003,986.0,976.0,1.0,0,1,38.18720499970792,12.961989508860642,984.9398496240601,976.0451127819549,0,117
2,38,nan,003,10,nan,0,001,001,0,001,A003,981.0,984.0,1.0,0,1,41.8060274833713,8.339433850511472,980.2049180327868,982.4918032786885,0,117
3,1,nan,003,2,nan,0,001,001,0,001,A003,1309.0,5.0,1.0,0,1,21.729819945932405,27.130733388813443,1308.9818181818182,5.8,0,9
3,2,nan,003,2,nan,0,001,001,0,001,A003,277.0,38.0,1.0,0,1,47.42113481760743,14.030642770143068,276.95089285714283,39.64732142857143,0,25
3,3,nan,003,2,nan,0,001,001,0,001,A003,287.0,45.0,1.0,0,1,41.26752435941261,7.685977300448635,287.188679245283,44.030188679245285,0,25
